Bulbasaur|https://img.pokemondb.net/sprites/sun-moon/icon/bulbasaur.png
Ivysaur|https://img.pokemondb.net/sprites/sun-moon/icon/ivysaur.png
Venusaur|https://img.pokemondb.net/sprites/sun-moon/icon/venusaur.png
Charmander|https://img.pokemondb.net/sprites/sun-moon/icon/charmander.png
Charmeleon|https://img.pokemondb.net/sprites/sun-moon/icon/charmeleon.png
Charizard|https://img.pokemondb.net/sprites/sun-moon/icon/charizard.png
Squirtle|https://img.pokemondb.net/sprites/sun-moon/icon/squirtle.png
Wartortle|https://img.pokemondb.net/sprites/sun-moon/icon/wartortle.png
Blastoise|https://img.pokemondb.net/sprites/sun-moon/icon/blastoise.png
Caterpie|https://img.pokemondb.net/sprites/sun-moon/icon/caterpie.png
Metapod|https://img.pokemondb.net/sprites/sun-moon/icon/metapod.png
Butterfree|https://img.pokemondb.net/sprites/sun-moon/icon/butterfree.png
Weedle|https://img.pokemondb.net/sprites/sun-moon/icon/weedle.png
Kakuna|https://img.pokemondb.net/sprites/sun-moon/icon/kakuna.png
Beedrill|https://img.pokemondb.net/sprites/sun-moon/icon/beedrill.png
Pidgey|https://img.pokemondb.net/sprites/sun-moon/icon/pidgey.png
Pidgeotto|https://img.pokemondb.net/sprites/sun-moon/icon/pidgeotto.png
Pidgeot|https://img.pokemondb.net/sprites/sun-moon/icon/pidgeot.png
Rattata|https://img.pokemondb.net/sprites/sun-moon/icon/rattata.png
Raticate|https://img.pokemondb.net/sprites/sun-moon/icon/raticate.png
Spearow|https://img.pokemondb.net/sprites/sun-moon/icon/spearow.png
Fearow|https://img.pokemondb.net/sprites/sun-moon/icon/fearow.png
Ekans|https://img.pokemondb.net/sprites/sun-moon/icon/ekans.png
Arbok|https://img.pokemondb.net/sprites/sun-moon/icon/arbok.png
Pikachu|https://img.pokemondb.net/sprites/sun-moon/icon/pikachu.png
Raichu|https://img.pokemondb.net/sprites/sun-moon/icon/raichu.png
Sandshrew|https://img.pokemondb.net/sprites/sun-moon/icon/sandshrew.png
Sandslash|https://img.pokemondb.net/sprites/sun-moon/icon/sandslash.png
Nidoran♀|https://img.pokemondb.net/sprites/sun-moon/icon/nidoran-f.png
Nidorina|https://img.pokemondb.net/sprites/sun-moon/icon/nidorina.png
Nidoqueen|https://img.pokemondb.net/sprites/sun-moon/icon/nidoqueen.png
Nidoran♂|https://img.pokemondb.net/sprites/sun-moon/icon/nidoran-m.png
Nidorino|https://img.pokemondb.net/sprites/sun-moon/icon/nidorino.png
Nidoking|https://img.pokemondb.net/sprites/sun-moon/icon/nidoking.png
Clefairy|https://img.pokemondb.net/sprites/sun-moon/icon/clefairy.png
Clefable|https://img.pokemondb.net/sprites/sun-moon/icon/clefable.png
Vulpix|https://img.pokemondb.net/sprites/sun-moon/icon/vulpix.png
Ninetales|https://img.pokemondb.net/sprites/sun-moon/icon/ninetales.png
Jigglypuff|https://img.pokemondb.net/sprites/sun-moon/icon/jigglypuff.png
Wigglytuff|https://img.pokemondb.net/sprites/sun-moon/icon/wigglytuff.png
Zubat|https://img.pokemondb.net/sprites/sun-moon/icon/zubat.png
Golbat|https://img.pokemondb.net/sprites/sun-moon/icon/golbat.png
Oddish|https://img.pokemondb.net/sprites/sun-moon/icon/oddish.png
Gloom|https://img.pokemondb.net/sprites/sun-moon/icon/gloom.png
Vileplume|https://img.pokemondb.net/sprites/sun-moon/icon/vileplume.png
Paras|https://img.pokemondb.net/sprites/sun-moon/icon/paras.png
Parasect|https://img.pokemondb.net/sprites/sun-moon/icon/parasect.png
Venonat|https://img.pokemondb.net/sprites/sun-moon/icon/venonat.png
Venomoth|https://img.pokemondb.net/sprites/sun-moon/icon/venomoth.png
Diglett|https://img.pokemondb.net/sprites/sun-moon/icon/diglett.png
Dugtrio|https://img.pokemondb.net/sprites/sun-moon/icon/dugtrio.png
Meowth|https://img.pokemondb.net/sprites/sun-moon/icon/meowth.png
